image_id,qr_index,x0,y0,x1,y1,x2,y2,x3,y3,content
2656508531_jpg.rf.e3471da597bbb5c678c7b81a9444a45a,0,64,73,169,73,169,156,64,156,
2879826877_jpg.rf.e5a0a919ca06cd38041277acc8078c7c,0,195,420,295,417,299,543,199,545,
IMG_20220601_162857_jpg.rf.e37733db42ffb9cfe2084c2b7e0e0859,,,,,,,,,,
1932429740_jpg.rf.e6a7bf47534a5bac958e9fa0bfbac030,,,,,,,,,,
glareimage012_jpg.rf.ef40b6d1d694679efbbdd5dbdc2050b4,0,271,358,355,356,357,438,273,440,
4_jpg.rf.ea7bb9bcb849a248b176040568902d1c,0,96,42,589,34,597,492,104,500,
2963262766_jpg.rf.e8429960e4f10a86b74c7976796d3a69,,,,,,,,,,
2566618981_jpg.rf.eaa911b50263633865aeceec80f1186a,0,330,351,449,369,437,457,318,439,
2686038510_jpg.rf.e1a2b8871ca7abaf5b98783b8f691fa6,0,478,111,560,111,560,149,478,149,
4528956445_jpg.rf.ea901d7683b238bd820f68c12502a7cb,0,231,32,336,32,336,135,231,135,
4286729304_jpg.rf.ef718eae4d45201d5c779a8d471ed20f,,,,,,,,,,
2908131194_jpg.rf.ecab4063e54ecd9be7b09b3910ba574d,0,216,300,406,307,400,456,210,448,
blurredimage030_jpg.rf.e5cf7057a6c5f1983a7ded7ab0a7ee95,0,381,338,499,342,495,441,378,436,
2686139452_jpg.rf.e2f1958b1febbb9f78b1603f49a2af47,0,3,467,95,467,95,586,3,586,
brightnessimage023_jpg.rf.e7c7a64e440c247584fa0c14af6acefa,0,452,266,538,266,538,332,452,332,
brightnessimage023_jpg.rf.e7c7a64e440c247584fa0c14af6acefa,1,405,371,505,374,503,449,403,446,
brightnessimage023_jpg.rf.e7c7a64e440c247584fa0c14af6acefa,2,146,259,323,254,327,388,150,393,
5241281672_jpg.rf.ee1b15753a5c459f127e227698a177f8,0,-13,-11,676,-11,676,676,-13,676,
glareimage017_jpg.rf.ed771eb7a086b3de49fff17bb70ea2f1,0,189,272,474,279,469,487,184,481,
high_versionimage018_jpg.rf.eed99bfbd2b397d7ec0f652ba6828f54,0,27,49,588,19,617,559,55,589,
curvedimage049_jpg.rf.ec8ecfdecbc33b3f51fec80ce2c41922,0,94,113,557,203,487,564,24,474,
4956470281_jpg.rf.ed0cbb1c0b8fcf8de7c8e6d9044d3097,0,10,428,69,428,69,496,10,496,
1134131119_jpg.rf.ed5baa9448306c95940068ba1c6069ad,0,411,253,511,208,570,336,470,380,
glareimage040_jpg.rf.ef11e7f0f75db08bb7d3ac5723cf1c6d,0,184,88,553,178,460,556,91,466,
brightnessimage014_jpg.rf.e355ea0ce26036d0cc224f5831ae86a3,,,,,,,,,,
4917222006_jpg.rf.ece6925763291c22ac63961d200e1a70,0,435,87,621,90,618,366,431,364,
0494045485_jpg.rf.e6c1fe8917c8f2db08674e958eae35ed,0,205,219,458,222,454,569,200,566,
blurredimage005_jpg.rf.f19ad89862a8d291f95743c86218a29f,0,34,213,232,212,234,359,36,361,
IMG_20220604_164253_jpg.rf.f1df64ce9b47f73b90813425c9b11648,0,185,409,237,411,236,454,183,452,
5117982907_jpg.rf.f20b8ecca85b7d1818958394431c066e,,,,,,,,,,
2716844652_jpg.rf.f4446bc4e4b6e33a285b11f92d1c40bf,0,166,290,246,326,227,374,146,337,
high_versionimage019_jpg.rf.f735f77fc33613b55767e7d1559331b5,0,19,41,629,41,629,580,19,580,
5117983633_jpg.rf.f46461108709752cc20389c0604103d0,,,,,,,,,,
rotationsimage004_jpg.rf.f55e736ffc3e1b6e2a25e7acba43e067,0,332,182,423,216,399,283,308,249,
rotationsimage004_jpg.rf.f55e736ffc3e1b6e2a25e7acba43e067,1,451,257,557,302,524,383,417,338,
rotationsimage004_jpg.rf.f55e736ffc3e1b6e2a25e7acba43e067,2,179,315,382,391,326,545,124,469,
IMG_20220602_172150_jpg.rf.fcc9fc0d716298a573810cc76f75d798,0,519,234,649,234,649,428,519,428,
bright_spotsimage029_jpg.rf.f0d7bae76ed2548b20973418cba30bc6,,,,,,,,,,
curvedimage029_jpg.rf.f808e92b62e32319b82a34d22f18c5dd,,,,,,,,,,
4071142993_jpg.rf.fa8658a322ed3fe8a1b83b6f803845c4,0,120,412,164,413,163,475,118,474,
IMG_20220602_155756_jpg.rf.f6500029d5a796840f3259341f8cc077,0,132,463,247,427,272,511,157,547,
glareimage001_jpg.rf.f5f1e18fa01aadd62855351b5bc8053c,0,154,391,223,380,232,439,163,450,
1103_U72oYkT2C_jpg.rf.f8df74eb25cc07cdbcd0a16ff54bd2a6,0,146,239,470,234,474,517,151,522,
2781830325_jpg.rf.f24e182c9fa7ca64210785a84b683961,0,307,298,481,327,461,453,287,424,
4941559651_jpg.rf.fa9d47928b07ef125f71a933798629bd,0,220,368,255,356,282,424,246,436,
5098699881_jpg.rf.f54f7f4acecf65b7e4e9a724e2148ea4,0,190,341,283,344,280,462,187,459,
nominalimage017_jpg.rf.f9db3d80c7114e9283700437cb15cbce,0,75,189,310,228,278,421,43,382,
3359230395_jpg.rf.fbbfabab7302d100d3efcbc0c2e9ba08,0,213,3,372,4,370,160,211,158,
3359230395_jpg.rf.fbbfabab7302d100d3efcbc0c2e9ba08,1,222,193,361,193,361,313,222,313,
perspectiveimage008_jpg.rf.fe5c7aca599dfdd9e9218d82290289fa,0,208,206,345,197,362,455,225,463,
5243755298_jpg.rf.fdc668c82408304511921f6ed68e20bf,0,74,127,244,127,244,340,74,340,
